raw_name,source_field,status,type,count,examples,suggested_action
Afghan Mujahideen,Loser,unmapped,unknown,1,Magistral1987,add_actor_normalization
Afghan Rebels,Loser,unmapped,unknown,1,Herat1978,add_actor_normalization
Aflonso V,Winner,unmapped,unknown,1,Alfarrobeira1986,add_actor_normalization
Afridi Rebels,Loser,unmapped,unknown,1,Dargai1897,add_actor_normalization
Afridi Tribe,Winner,unmapped,unknown,1,Landi Kotal1897,add_actor_normalization
Afridi Tribesmen,Winner,unmapped,unknown,1,Saragarhi1897,add_actor_normalization
Ahmed Shah Masud,Loser,unmapped,unknown,1,Kabul1996,add_actor_normalization
Al Qaeda,Loser,mapped_internal,rebel_group,1,Kunduz2001,check_internal_mapping
Albania,Loser,unmapped,unknown,1,Albania1939,add_actor_normalization
Anhui,Loser,unmapped,unknown,1,Zhuozhou1920,add_actor_normalization
Anti Treaty IRA,Loser,unmapped,unknown,1,Limerick1922,add_actor_normalization
Arab forces,Loser,unmapped,unknown,1,Huleiqat1948,add_actor_normalization
Arab Forces,Loser,unmapped,unknown,1,El Henni (1st)1911,add_actor_normalization
Arab Slave Traders,Loser,unmapped,unknown,1,Bagamoyo1889,add_actor_normalization
Armenia,Loser,unmapped,unknown,1,Baku1918,add_actor_normalization
Armenia,Winner,unmapped,unknown,1,Sardarapat1918,add_actor_normalization
Ashanti,Loser,unmapped,unknown,1,Ashanti1900,add_actor_normalization
Ashanti Rebels,Loser,unmapped,unknown,1,Aboasa1900,add_actor_normalization
Austro-Hungary,Winner,unmapped,unknown,1,Tarnopol1917,add_actor_normalization
Babrak Kamal,Winner,unmapped,unknown,1,Kabul1979,add_actor_normalization
Bali,Winner,unmapped,unknown,1,Cakranegara1894,add_actor_normalization
Batista Forces,Winner,unmapped,unknown,1,Alegria del Pio1956,add_actor_normalization
Batista Supporters,Loser,unmapped,unknown,1,El Uvero1957,add_actor_normalization
Bedouin,Loser,unmapped,unknown,1,Hama1925,add_actor_normalization
