raw_name,source_field,status,type,count,examples,suggested_action
Somali Rebels,Winner,unmapped,unknown,1,Mogadishu1993,add_actor_normalization
Somaliland Mullah,Loser,unmapped,unknown,1,Daratoleh1903,add_actor_normalization
Soviet Union,Winner,unmapped,unknown,1,Manchuria1945,add_actor_normalization
Spanish Nationalists,Participant 1,mapped_internal,faction,1,"Guadalajara, Spain1937",check_internal_mapping
Spanish Republicans,Participant 2,mapped_internal,faction,1,"Guadalajara, Spain1937",check_internal_mapping
Sudanese forces,Winner,unmapped,unknown,1,Handoub1888,add_actor_normalization
Sudanese Islamists,Loser,unmapped,unknown,1,Omdurman1898,add_actor_normalization
Sudanese Rebels,Loser,unmapped,unknown,1,Beringia1916,add_actor_normalization
Sultanate of Darfur,Loser,unmapped,unknown,1,Guiba1916,add_actor_normalization
Sun Chuanfung of Jiangxi,Loser,unmapped,unknown,1,Fuzhou1926,add_actor_normalization
Sun Zhuanfang,Loser,unmapped,unknown,1,Xuzhou1927,add_actor_normalization
Syrian Legion dissidents,Loser,unmapped,unknown,1,Hama1925,add_actor_normalization
Taliban,Winner,mapped_internal,rebel_group,1,Kabul1996,check_internal_mapping
Taureg,Loser,unmapped,unknown,1,Tit1902,add_actor_normalization
the Mahdiyya,Participant 2,unmapped,unknown,1,Abu Hamed1897,add_actor_normalization
the Mahdiyya,Loser,unmapped,unknown,1,Handoub1888,add_actor_normalization
The Mahdiyya,Loser,unmapped,unknown,1,Gedaref1898,add_actor_normalization
The Ottoman Empire,Participant 2,unmapped,unknown,1,Katia (1st)1916,add_actor_normalization
Tigrayan Rebels,Winner,unmapped,unknown,1,Inda Silase1989,add_actor_normalization
Tukulor Empire,Loser,unmapped,unknown,1,Nioro1891,add_actor_normalization
Ukrainian Secessionists,Loser,unmapped,unknown,1,Rostov1918,add_actor_normalization
Ukranian Anarchists,Loser,unmapped,unknown,1,Peregonovka1919,add_actor_normalization
Venezuela,Participant 2,unmapped,unknown,1,La Guaira1902,add_actor_normalization
Venezuelan Government,Winner,unmapped,unknown,1,Ciudad Bolivar1903,add_actor_normalization
Venezuelan Leftists,Loser,unmapped,unknown,1,Puerto Cabello1962,add_actor_normalization
Venezuelan Liberal Rebels,Winner,unmapped,unknown,1,Tocuyito1899,add_actor_normalization
Venezuelan Rebels,Loser,unmapped,unknown,1,Ciudad Bolivar1903,add_actor_normalization
Venezuelan Rebels,Winner,unmapped,unknown,1,"San Pedro, Venezuela1892",add_actor_normalization
Viet Cong,Participant 2,mapped_internal,rebel_group,1,Khe Sanh1968,check_internal_mapping
Vietcong,Winner,unmapped,unknown,1,Cambodia1970,add_actor_normalization
Vietminh,Participant 2,unmapped,unknown,1,Yen Bai1952,add_actor_normalization
Vietnamese Civilians,Participant 2,unmapped,unknown,1,My Lai1968,add_actor_normalization
Warlord Chiang Xueliang,Loser,unmapped,unknown,1,Linying1927,add_actor_normalization
Warlord Sun Zuanfang,Loser,unmapped,unknown,1,"Longtan, China1927",add_actor_normalization
Warlord Zhang Xun,Loser,unmapped,unknown,1,Beijing1917,add_actor_normalization
Warlord Zhang Zuolin,Loser,unmapped,unknown,1,Beijing1928,add_actor_normalization
Waziri Rebels,Loser,unmapped,unknown,1,Barari Tangi1920,add_actor_normalization
Waziri Rebels,Winner,unmapped,unknown,1,Palosina1919,add_actor_normalization
Waziri Tribesmen,Loser,unmapped,unknown,1,Aka Khel1920,add_actor_normalization
Yan Xishan,Loser,unmapped,unknown,1,Taiyuan1949,add_actor_normalization
Yemen,Winner,unmapped,unknown,1,Aden1994,add_actor_normalization
Yemen,Loser,unmapped,unknown,1,Hudayda1934,add_actor_normalization
Yemen Government,Participant 1,unmapped,unknown,1,Aden1986,add_actor_normalization
Yemen Rebels,Participant 2,unmapped,unknown,1,Aden1986,add_actor_normalization
Zaia,Loser,unmapped,unknown,1,Khenifra1914,add_actor_normalization
Zapatistas,Winner,mapped_internal,rebel_group,1,Cuautla1911,check_internal_mapping
Zhang Zongchang,Loser,unmapped,unknown,1,Nanjing1927,add_actor_normalization
Zhang Zuolin,Loser,unmapped,unknown,1,Baoding1928,add_actor_normalization
Zhili,Loser,unmapped,unknown,1,Shanhaiguan1924,add_actor_normalization
Zionists,Winner,unmapped,unknown,1,Jaffa1949,add_actor_normalization
Zulu Rebels,Winner,mapped_internal,rebel_group,1,Ivuna1888,check_internal_mapping
Zulus,Winner,unmapped,unknown,1,Ceza1888,add_actor_normalization
